timestamp,Basilea_Temperature,Basilea_Relative_Humidity,Basilea_Wind_Speed,Basilea_Wind_Direction
20210624T0900,16.39053,90.0,7.9932966,305.83765
20210624T1000,17.54053,85.0,10.739832,309.5597
20210624T1100,17.280529,83.0,7.653705,311.1859
20210624T1200,17.79053,77.0,3.9763298,354.8056
20210624T1300,19.30053,71.0,7.42159,284.03625
20210624T1400,21.54053,62.0,11.435313,298.1786
20210624T1500,20.04053,65.0,13.556282,280.71313
20210624T1600,19.240528,68.0,12.959999,270.0
20210624T1700,19.22053,66.0,13.084402,262.09283
20210624T1800,19.37053,58.0,22.206486,250.09625
20210624T1900,19.23053,59.0,18.86139,246.37064
20210624T2000,19.010529,64.0,15.39184,259.2157
20210624T2100,17.840528,70.0,15.546833,264.68546
20210624T2200,17.05053,74.0,10.464797,243.43495
20210624T2300,16.56053,76.0,9.360001,247.38014
20210625T0000,16.190529,78.0,10.495713,247.83365
